time,1000000 airbag_sensor,
0,-1505.3,
4.90392e-005,-1544.4,
9.90792e-005,-1570.18,
0.000149119,-1580.46,
0.000199159,-1572.99,
0.000249199,-1545.4,
0.000299239,-1495.25,
0.000349279,-1419.99,
0.000399319,-1317.06,
0.000449359,-1183.95,
0.000499399,-1018.22,
0.000549439,-817.476,
0.000599479,-579.301,
0.000649519,-301.286,
0.000699559,18.8827,
0.000749599,383.285,
0.000799639,794.071,
0.000849679,1254.26,
0.000899719,1768.16,
0.000949759,2340.85,
0.000999799,2977.18,
0.00104984,3680.48,
0.00109988,4451.24,
0.00114992,5286.41,
0.00119996,6180.03,
0.00125,7124.45,
0.00129904,8110.81,
0.00134908,9129.33,
0.00139912,10169.7,
0.00144916,11221,
0.0014992,12271.6,
0.00154924,13309.8,
0.00159928,14324.5,
0.00164932,15306.7,
0.00169936,16249.9,
0.0017494,17150.7,
0.00179944,18005.8,
0.00184948,18810.2,
0.00189952,19556.5,
0.00194956,20235.5,
0.0019996,20839.5,
0.00204964,21363.3,
0.00209968,21803.9,
0.00214972,22158.3,
0.00219976,22421.4,
0.0022498,22584.4,
0.00229984,22636.2,
0.00234988,22566.3,
0.00239992,22366.6,
0.00244996,22030.1,
0.0025,21549.8,
0.00254904,20920.3,
0.00259908,20137.7,
0.00264912,19200.7,
0.00269916,18113.6,
0.0027492,16886.5,
0.00279924,15533.8,
0.00284928,14072.8,
0.00289932,12521.8,
0.00294936,10894.9,
0.0029994,9198.55,
0.00304944,7434.97,
0.00309948,5609.1,
0.00314952,3732.51,
0.00319956,1823.97,
0.0032496,-92.8002,
0.00329964,-1994.48,
0.00334968,-3864.02,
0.00339972,-5692.09,
0.00344976,-7472.93,
0.0034998,-9198.21,
0.00354984,-10854.2,
0.00359988,-12423.2,
0.00364992,-13886.7,
0.00369996,-15231.3,
0.00375,-16455,
0.00379904,-17567.6,
0.00384908,-18584,
0.00389912,-19518.8,
0.00394916,-20384.2,
0.0039992,-21188.1,
0.00404924,-21934.3,
0.00409928,-22626.4,
0.00414932,-23269.2,
0.00419936,-23863.6,
0.0042494,-24400.5,
0.00429944,-24860.3,
0.00434948,-25216,
0.00439952,-25440.8,
0.00444956,-25522.7,
0.0044996,-25470.4,
0.00454964,-25303.1,
0.00459968,-25037.6,
0.00464972,-24685.2,
0.00469976,-24259.2,
0.0047498,-23779,
0.00479984,-23271.1,
0.00484988,-22767.3,
0.00489992,-22299,
0.00494996,-21890.2,
0.004999,-21551.4,
0.00504904,-21278.8,
0.00509908,-21052.9,
0.00514912,-20838.3,
0.00519916,-20589.1,
0.0052492,-20260.9,
0.00529924,-19817.7,
0.00534928,-19233.5,
0.00539932,-18492.5,
0.00544936,-17593.7,
0.0054994,-16550.7,
0.00554944,-15386.1,
0.00559948,-14131.2,
0.00564952,-12829.8,
0.00569956,-11534.8,
0.0057496,-10296.5,
0.00579964,-9151.58,
0.00584968,-8115.56,
