time,1000000 airbag_sensor,
0,-643.994,
4.90392e-005,-615.968,
9.90792e-005,-576.464,
0.000149119,-524.33,
0.000199159,-458.403,
0.000249199,-377.53,
0.000299239,-280.59,
0.000349279,-166.502,
0.000399319,-34.2441,
0.000449359,117.051,
0.000499399,288.003,
0.000549439,479.006,
0.000599479,690.252,
0.000649519,921.63,
0.000699559,1172.6,
0.000749599,1442.03,
0.000799639,1727.84,
0.000849679,2026.51,
0.000899719,2333.11,
0.000949759,2642.59,
0.000999799,2951.92,
0.00104984,3261.44,
0.00109988,3574.58,
0.00114992,3896.18,
0.00119996,4231.19,
0.00125,4584.25,
0.00129904,4960.38,
0.00134908,5366.27,
0.00139912,5811.6,
0.00144916,6308.53,
0.0014992,6869.63,
0.00154924,7504.96,
0.00159928,8219.21,
0.00164932,9010.38,
0.00169936,9872.16,
0.0017494,10799.5,
0.00179944,11791.9,
0.00184948,12852.1,
0.00189952,13981.9,
0.00194956,15179.1,
0.0019996,16434.1,
0.00204964,17729.1,
0.00209968,19040.8,
0.00214972,20346.3,
0.00219976,21628,
0.0022498,22875.9,
0.00229984,24084.1,
0.00234988,25243.6,
0.00239992,26337.5,
0.00244996,27342.4,
0.0025,28236.3,
0.00254904,29004.3,
0.00259908,29641.2,
0.00264912,30150.6,
0.00269916,30541,
0.0027492,30820.2,
0.00279924,30992.2,
0.00284928,31057.1,
0.00289932,31012.2,
0.00294936,30854.2,
0.0029994,30581.1,
0.00304944,30187.9,
0.00309948,29661.2,
0.00314952,28977.8,
0.00319956,28110.2,
0.0032496,27034.7,
0.00329964,25740,
0.00334968,24226.8,
0.00339972,22501.2,
0.00344976,20568.8,
0.0034998,18429.4,
0.00354984,16078.1,
0.00359988,13516.8,
0.00364992,10762.2,
0.00369996,7842.52,
0.00375,4787.46,
0.00379904,1621.79,
0.00384908,-1632.95,
0.00389912,-4952.7,
0.00394916,-8306.83,
0.0039992,-11659.7,
0.00404924,-14975.3,
0.00409928,-18219.3,
0.00414932,-21356.6,
0.00419936,-24344.6,
0.0042494,-27130.6,
0.00429944,-29660,
0.00434948,-31884.6,
0.00439952,-33764.2,
0.00444956,-35267.1,
0.0044996,-36370,
0.00454964,-37057.5,
0.00459968,-37318.9,
0.00464972,-37145.9,
0.00469976,-36534.4,
0.0047498,-35489.3,
0.00479984,-34028.2,
0.00484988,-32182.3,
0.00489992,-29997.3,
0.00494996,-27535.7,
0.004999,-24869,
0.00504904,-22060.6,
0.00509908,-19154.7,
0.00514912,-16175.3,
0.00519916,-13132.7,
0.0052492,-10031.4,
0.00529924,-6877.42,
0.00534928,-3681.76,
0.00539932,-463.45,
0.00544936,2748.04,
0.0054994,5909.37,
0.00554944,8958.3,
0.00559948,11812.1,
0.00564952,14375.6,
0.00569956,16557.9,
0.0057496,18286.2,
0.00579964,19507.3,
0.00584968,20179.9,
0.00589972,20275.6,
0.00594976,19791.3,
0.0059998,18758.4,
0.00604984,17238.4,
0.00609988,15303,
0.00614992,13016.9,
0.00619996,10437.8,
0.00624899,7632.74,
0.00629903,4687.66,
0.00634907,1700.16,
0.00639911,-1234.9,
0.00644915,-4032,
0.00649919,-6609.17,
0.00654923,-8875.89,
0.00659927,-10723.9,
0.00664931,-12043.4,
0.00669935,-12775.8,
0.00674939,-12965.6,
0.00679943,-12765.6,
0.00684947,-12376.8,
0.00689951,-11975.9,
0.00694955,-11681.7,
0.00699959,-11569,
0.00704963,-11702.4,
0.00709967,-12122.1,
0.00714971,-12797.7,
0.00719975,-13622.6,
0.00724979,-14447.9,
0.00729983,-15156.2,
0.00734987,-15696,
0.00739991,-16011.2,
0.00744995,-15963.6,
0.00749899,-15324.1,
0.00754903,-13834.8,
0.00759907,-11305.6,
0.00764911,-7639.92,
0.00769915,-2794.95,
0.00774919,3230.54,
0.00779923,10366.8,
0.00784927,18420.6,
0.00789931,27061.1,
0.00794935,35899.9,
0.00799939,44596,
0.00804943,52900.2,
0.00809947,60655.1,
0.00814951,67771.4,
0.00819955,74188.1,
0.00824959,79831,
0.00829963,84611.4,
